name,owner,url,stars,forks,description,topics,language,created_at,updated_at,has_training,training_files_sample,has_testing,testing_files_sample,open_issues,license
PVT,whai362,https://github.com/whai362/PVT,1867,254,Official implementation of PVT series,"['backbone', 'detection', 'pvt', 'pvtv2', 'segmentation', 'transformer']",Python,2021-02-24T02:01:37Z,2025-11-30T10:58:46Z,True,"['detection/dist_train.sh', 'detection/train.py', 'detection/train.py', 'dist_train.sh']",True,"['detection/dist_test.sh', 'detection/test.py']",40,Apache License 2.0
ViTPose,ViTAE-Transformer,https://github.com/ViTAE-Transformer/ViTPose,1853,230,"The official repo for [NeurIPS'22] ""ViTPose: Simple Vision Transformer Baselines for Human Pose Estimation"" and [TPAMI'23] ""ViTPose++: Vision Transformer for Generic Body Pose Estimation""","['deep-learning', 'distillation', 'mae', 'pose-estimation', 'pytorch', 'self-supervised-learning', 'vision-transformer']",Python,2022-04-27T01:09:19Z,2025-12-09T03:09:56Z,True,"['docs/en/tutorials/1_finetune.md', 'docs/zh_cn/tutorials/1_finetune.md', 'mmpose/apis/train.py', 'mmpose/apis/train.py', 'tests/data/jhmdb/goalkeeper_training_day_@_7_catch_f_cm_np1_ri_med_0/00001.png']",True,"['mmpose/apis/test.py', 'mmpose/core/evaluation/bottom_up_eval.py', 'mmpose/core/evaluation/mesh_eval.py', 'mmpose/core/evaluation/pose3d_eval.py', 'mmpose/core/evaluation/top_down_eval.py']",106,Apache License 2.0
OminiControl,Yuanshi9815,https://github.com/Yuanshi9815/OminiControl,1848,140,[ICCV 2025 Highlight] OminiControl: Minimal and Universal Control for Diffusion Transformer,[],Python,2024-11-17T08:53:18Z,2025-12-09T10:47:30Z,True,"['omini/train_flux/train_custom.py', 'omini/train_flux/train_custom.py', 'omini/train_flux/train_multi_condition.py', 'omini/train_flux/train_multi_condition.py', 'omini/train_flux/train_spatial_alignment.py']",True,"['assets/test_in.jpg', 'assets/test_out.jpg']",62,Apache License 2.0
Cream,microsoft,https://github.com/microsoft/Cream,1811,239,This is a collection of our NAS and Vision Transformer work.,"['automl', 'efficiency', 'knowledge-distillation', 'nas', 'rpe', 'vision-transformer', 'vit-compression']",Python,2020-10-12T09:30:03Z,2025-12-09T08:03:01Z,True,"['autoformer/supernet_train.py', 'autoformer/supernet_train.py', 'cdarts/cdarts/retrain.py', 'cdarts/cdarts/retrain.py', 'cdarts/cdarts_detection/mmdet/apis/train.py']",True,"['cdarts/cdarts/test.py', 'cdarts/cdarts_detection/mmcv/runner/parallel_test.py', 'cdarts/cdarts_detection/mmdet/datasets/pipelines/test_aug.py', 'cdarts/cdarts_detection/mmdet/models/detectors/test_mixins.py', 'cdarts/cdarts_detection/test.py']",34,MIT License
Show-o,showlab,https://github.com/showlab/Show-o,1809,80,"[ICLR & NeurIPS 2025] Repository for Show-o series, One Single Transformer to Unify Multimodal Understanding and Generation.","['diffusion-models', 'large-language-models', 'multimodal']",Python,2024-08-09T05:26:23Z,2025-12-10T03:16:40Z,True,"['configs/showo_pretraining_stage1.yaml', 'configs/showo_pretraining_stage1.yaml', 'configs/showo_pretraining_stage2.yaml', 'configs/showo_pretraining_stage2.yaml', 'configs/showo_pretraining_stage3.yaml']",True,['show-o2/evaluation/inference_geneval.py'],62,Apache License 2.0
CogView,zai-org,https://github.com/zai-org/CogView,1794,179,"Text-to-Image generation. The repo for NeurIPS 2021 paper ""CogView: Mastering Text-to-Image Generation via Transformers"".","['pretrained-models', 'pytorch', 'text-to-image', 'transformers']",Python,2021-05-25T14:48:31Z,2025-12-09T13:45:40Z,True,"['finetune/__init__.py', 'pretrain_gpt2.py', 'pretrain_gpt2.py', 'pretrained/chinese_sentencepiece/cog-pretrain.model', 'pretrained/chinese_sentencepiece/cog-pretrain.vocab']",True,['test_lmdb.py'],19,Apache License 2.0
FluxMusic,feizc,https://github.com/feizc/FluxMusic,1712,128,Text-to-Music Generation with Rectified Flow Transformers,[],Python,2024-08-06T09:41:07Z,2025-12-03T11:31:50Z,True,"['audioldm2/clap/open_clip/pretrained.py', 'audioldm2/clap/training/__init__.py', 'audioldm2/clap/training/__pycache__/__init__.cpython-310.pyc', 'audioldm2/clap/training/__pycache__/data.cpython-310.pyc', 'audioldm2/clap/training/audioset_textmap.npy']",True,['test.py'],19,Other
EasyControl,Xiaojiu-z,https://github.com/Xiaojiu-z/EasyControl,1703,127,"Implementation of ""EasyControl: Adding Efficient and Flexible Control for Diffusion Transformer""(ICCV2025)",[],Python,2025-03-06T09:33:30Z,2025-12-09T03:36:33Z,True,"['train/default_config.yaml', 'train/examples/openpose_data/1.png', 'train/examples/openpose_data/2.png', 'train/examples/pose.jsonl', 'train/examples/style.jsonl']",True,"['test_imgs/canny.png', 'test_imgs/depth.png', 'test_imgs/ghibli.png', 'test_imgs/inpainting.png', 'test_imgs/openpose.png']",23,Apache License 2.0
TransGAN,VITA-Group,https://github.com/VITA-Group/TransGAN,1688,204,"[NeurIPS‘2021] ""TransGAN: Two Pure Transformers Can Make One Strong GAN, and That Can Scale Up"", Yifan Jiang, Shiyu Chang, Zhangyang Wang","['gan', 'pytorch', 'transformer', 'transformer-encoder', 'transformer-models']",Python,2021-02-10T18:11:54Z,2025-11-25T10:54:36Z,True,"['exps/celeba_hq_256_train.py', 'exps/celeba_hq_256_train.py', 'exps/church_256_train.py', 'exps/church_256_train.py', 'exps/cifar_train.py']",True,"['exps/celeba_hq_256_test.py', 'exps/cifar_test.py', 'test.py']",15,Other
titans-pytorch,lucidrains,https://github.com/lucidrains/titans-pytorch,1655,158,"Unofficial implementation of Titans, SOTA memory for transformers, in Pytorch","['artificial-intelligence', 'deep-learning', 'long-term-memory', 'test-time-training']",Python,2025-01-08T15:26:27Z,2025-12-10T05:01:11Z,True,"['train_implicit_mlp_attn.py', 'train_implicit_mlp_attn.py', 'train_mac.py', 'train_mac.py']",True,"['.github/workflows/test.yaml', 'tests/test_titans.py']",31,MIT License
MetaTransformer,invictus717,https://github.com/invictus717/MetaTransformer,1644,117,Meta-Transformer for Unified Multimodal Learning,"['artificial-intelligence', 'computer-vision', 'foundationmodel', 'machine-learning', 'multimedia', 'multimodal', 'transformers']",Python,2023-07-08T12:40:54Z,2025-12-05T03:19:08Z,True,"['audio/src/traintest.py', 'autonomousdriving/data/kitti/imagesets/train.txt', 'autonomousdriving/data/lyft/imagesets/train.txt', 'autonomousdriving/data/once/imagesets/train.txt', 'autonomousdriving/data/waymo/imagesets/train.txt']",True,"['audio/src/traintest.py', 'autonomousdriving/data/kitti/imagesets/test.txt', 'autonomousdriving/data/lyft/imagesets/test.txt', 'autonomousdriving/data/once/imagesets/test.txt', 'autonomousdriving/pcdet/datasets/kitti/kitti_eval.py']",4,Apache License 2.0
robotics_transformer,google-research,https://github.com/google-research/robotics_transformer,1642,189,,[],Python,2022-12-05T00:39:23Z,2025-12-10T02:30:22Z,True,"['film_efficientnet/pretrained_efficientnet_encoder.py', 'film_efficientnet/pretrained_efficientnet_encoder_test.py', 'trained_checkpoints/rt1main/assets/metadata.textproto', 'trained_checkpoints/rt1main/checkpoint', 'trained_checkpoints/rt1main/ckpt-424760.data-00000-of-00001']",True,"['film_efficientnet/film_conditioning_layer_test.py', 'film_efficientnet/film_efficientnet_encoder_test.py', 'film_efficientnet/preprocessors_test.py', 'film_efficientnet/pretrained_efficientnet_encoder_test.py', 'sequence_agent_test.py']",23,Apache License 2.0
safe-rlhf,PKU-Alignment,https://github.com/PKU-Alignment/safe-rlhf,1563,128,Safe RLHF: Constrained Value Alignment via Safe Reinforcement Learning from Human Feedback,"['ai-safety', 'alpaca', 'beaver', 'datasets', 'deepspeed', 'gpt', 'large-language-models', 'llama', 'llm', 'llms', 'reinforcement-learning', 'reinforcement-learning-from-human-feedback', 'rlhf', 'safe-reinforcement-learning', 'safe-reinforcement-learning-from-human-feedback', 'safe-rlhf', 'safety', 'transformer', 'transformers', 'vicuna']",Python,2023-05-15T11:47:08Z,2025-12-08T09:07:03Z,True,"['safe_rlhf/algorithms/dpo/trainer.py', 'safe_rlhf/algorithms/ppo/trainer.py', 'safe_rlhf/algorithms/ppo_lag/trainer.py', 'safe_rlhf/algorithms/ppo_reward_shaping/trainer.py', 'safe_rlhf/configs/ds_train_config_template.json']",True,"['safe_rlhf/evaluate/bigbench/eval.py', 'safe_rlhf/evaluate/gpt4/eval.py']",18,Apache License 2.0
RoboticsDiffusionTransformer,thu-ml,https://github.com/thu-ml/RoboticsDiffusionTransformer,1549,145,RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,[],Python,2024-10-07T10:08:30Z,2025-12-09T06:06:29Z,True,"['configs/finetune_datasets.json', 'configs/finetune_sample_weights.json', 'configs/pretrain_datasets.json', 'configs/pretrain_datasets.json', 'configs/pretrain_sample_weights.json']",True,['docs/test_6drot.py'],40,MIT License
4D-Humans,shubham-goel,https://github.com/shubham-goel/4D-Humans,1486,143,4DHumans: Reconstructing and Tracking Humans with Transformers,['3d-reconstruction'],Python,2023-05-31T21:05:33Z,2025-12-10T00:22:26Z,True,"['fetch_training_data.sh', 'fetch_training_data.sh', 'hmr2/configs_hydra/train.yaml', 'hmr2/configs_hydra/trainer/cpu.yaml', 'hmr2/configs_hydra/trainer/ddp.yaml']",True,['eval.py'],35,MIT License
CodeTF,salesforce,https://github.com/salesforce/CodeTF,1479,97,CodeTF: One-stop Transformer Library for State-of-the-art Code LLM,"['ai4code', 'ai4se', 'code-generation', 'code-intelligence', 'code-learning-datasets', 'code-representation-learning', 'code-understanding', 'human-eval', 'multilingual-parsers', 'transformers', 'tree-sitter']",Python,2023-05-02T05:05:27Z,2025-11-25T10:39:34Z,True,"['codetf/configs/training/causal_lm.yaml', 'codetf/configs/training/codet5.yaml', 'codetf/trainer/base_trainer.py', 'codetf/trainer/causal_lm_trainer.py', 'codetf/trainer/codet5_trainer.py']",True,"['test_code_utilities/__init__.py', 'test_code_utilities/test_extract_code_attributes.py', 'test_code_utilities/test_parse_code.py', 'test_code_utilities/test_remove_comments.py', 'test_code_utilities/test_variable_renaming.py']",28,Apache License 2.0
long_llama,CStanKonrad,https://github.com/CStanKonrad/long_llama,1463,85,LongLLaMA is a large language model capable of handling long contexts. It is based on OpenLLaMA and fine-tuned with the Focused Transformer (FoT) method.,[],Python,2023-07-06T14:54:15Z,2025-11-21T13:13:43Z,True,"['fot_continued_pretraining/easylm/__init__.py', 'fot_continued_pretraining/easylm/bpt.py', 'fot_continued_pretraining/easylm/checkpoint.py', 'fot_continued_pretraining/easylm/data.py', 'fot_continued_pretraining/easylm/jax_utils.py']",True,['fot_continued_pretraining/configs/setup_test.json'],18,Apache License 2.0
octo,octo-models,https://github.com/octo-models/octo,1455,240,Octo is a transformer-based robot policy trained on a diverse mix of 800k robot trajectories.,[],Python,2023-12-13T09:58:56Z,2025-12-10T02:38:23Z,True,"['examples/01_inference_pretrained.ipynb', 'examples/02_finetune_new_observation_action.py', 'examples/03_eval_finetuned.py', 'examples/04_eval_finetuned_on_robot.py', 'octo/utils/train_callbacks.py']",True,"['tests/debug_config.py', 'tests/debug_dataset/bridge_dataset/1.0.0/bridge_dataset-train.tfrecord-00000-of-00001', 'tests/debug_dataset/bridge_dataset/1.0.0/bridge_dataset-val.tfrecord-00000-of-00001', 'tests/debug_dataset/bridge_dataset/1.0.0/dataset_info.json', 'tests/debug_dataset/bridge_dataset/1.0.0/features.json']",92,MIT License
ViT-Adapter,czczup,https://github.com/czczup/ViT-Adapter,1447,151,[ICLR 2023 Spotlight] Vision Transformer Adapter for Dense Predictions,"['adapter', 'object-detection', 'semantic-segmentation', 'vision-transformer']",Python,2022-05-16T17:32:59Z,2025-12-07T21:42:16Z,True,"['detection/dist_train.sh', 'detection/slurm_train.sh', 'detection/train.py', 'detection/train.py', 'segmentation/dist_train.sh']",True,"['detection/dist_test.sh', 'detection/ops/test.py', 'detection/slurm_test.sh', 'detection/test.py', 'segmentation/dist_test.sh']",81,Other
MapTR,hustvl,https://github.com/hustvl/MapTR,1427,229,[ICLR'23 Spotlight & ECCV'24 & IJCV'24] MapTR: Structured Modeling and Learning for Online Vectorized HD Map Construction,"['autonomous-driving', 'bev', 'end-to-end', 'iclr2023', 'online-hdmap-construction', 'real-time', 'shape-representation', 'transformer', 'vectorized-hdmap']",Python,2022-07-28T02:20:43Z,2025-12-09T11:14:04Z,True,"['docs/train_eval.md', 'docs/train_eval.md', 'mmdetection3d/.dev_scripts/train_benchmark.sh', 'mmdetection3d/.dev_scripts/train_benchmark.sh', 'mmdetection3d/configs/fcos3d/fcos3d_r101_caffe_fpn_gn-head_dcn_2x8_1x_nus-mono3d_finetune.py']",True,"['mmdetection3d/.dev_scripts/gen_benchmark_script.py', 'mmdetection3d/.dev_scripts/test_benchmark.sh', 'mmdetection3d/mmdet3d/apis/test.py', 'mmdetection3d/mmdet3d/core/evaluation/indoor_eval.py', 'mmdetection3d/mmdet3d/core/evaluation/kitti_utils/eval.py']",134,MIT License
Megatron-DeepSpeed,bigscience-workshop,https://github.com/bigscience-workshop/Megatron-DeepSpeed,1426,228,"Ongoing research training transformer language models at scale, including: BERT & GPT-2",[],Python,2021-07-02T17:40:35Z,2025-11-26T06:51:29Z,True,"['examples/curriculum_learning/pretrain_gpt_cl.sh', 'examples/curriculum_learning/pretrain_gpt_cl.sh', 'examples/finetune_mnli_distributed.sh', 'examples/finetune_race_distributed.sh', 'examples/pretrain_bert.sh']",True,"['examples/evaluate_ict_zeroshot_nq.sh', 'examples/evaluate_zeroshot_gpt.sh', 'megatron/data/test/test_indexed_dataset.py', 'megatron/data/test/test_preprocess_data.sh', 'megatron/fused_kernels/tests/__init__.py']",123,Other
spacy-transformers,explosion,https://github.com/explosion/spacy-transformers,1402,176,"🛸 Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy","['bert', 'google', 'gpt-2', 'huggingface', 'language-model', 'machine-learning', 'natural-language-processing', 'natural-language-understanding', 'nlp', 'openai', 'pytorch', 'pytorch-model', 'spacy', 'spacy-extension', 'spacy-pipeline', 'transfer-learning', 'xlnet']",Python,2019-07-26T19:12:34Z,2025-11-19T10:46:06Z,True,['build-constraints.txt'],True,"['.github/workflows/tests.yml', 'spacy_transformers/tests/__init__.py', 'spacy_transformers/tests/enable_gpu.py', 'spacy_transformers/tests/regression/__init__.py', 'spacy_transformers/tests/regression/test_spacy_issue6401.py']",0,MIT License
gansformer,dorarad,https://github.com/dorarad/gansformer,1341,151,Generative Adversarial Transformers,"['attention', 'compositionality', 'gans', 'generative-adversarial-networks', 'image-generation', 'scene-generation', 'transformers']",Python,2021-03-01T13:39:07Z,2025-11-20T17:21:05Z,True,"['pretrained_networks.py', 'pytorch_version/torch_utils/training_stats.py', 'pytorch_version/torch_utils/training_stats.py', 'pytorch_version/training/__init__.py', 'pytorch_version/training/dataset.py']",True,['test_nvcc.cu'],15,MIT License
Retinexformer,caiyuanhao1998,https://github.com/caiyuanhao1998/Retinexformer,1327,109,"""Retinexformer: One-stage Retinex-based Transformer for Low-light Image Enhancement"" (ICCV 2023) & (NTIRE 2024 Runner-Up)","['basicsr', 'detection', 'iccv2023', 'image-restoration', 'low-light-enhance', 'low-light-enhancement', 'low-light-enhancer', 'low-light-image-enhancement', 'low-light-vision', 'nighttime-enhancement', 'ntire', 'object-detection', 'transformer']",Python,2023-07-15T10:53:06Z,2025-12-10T01:46:13Z,True,"['basicsr/data/meta_info/meta_info_vimeo90k_train_gt.txt', 'basicsr/data/meta_info/meta_info_vimeo90k_train_gt.txt', 'basicsr/train.py', 'basicsr/train.py', 'train_multigpu.sh']",True,"['enhancement/test_from_dataset.py', 'basicsr/data/meta_info/meta_info_reds4_test_gt.txt', 'basicsr/data/meta_info/meta_info_redsofficial4_test_gt.txt', 'basicsr/data/meta_info/meta_info_redsval_official_test_gt.txt', 'basicsr/data/meta_info/meta_info_vimeo90k_test_gt.txt']",2,MIT License
unimatch,autonomousvision,https://github.com/autonomousvision/unimatch,1317,131,"[TPAMI'23] Unifying Flow, Stereo and Depth Estimation","['correspondence', 'cross-attention', 'depth', 'matching', 'optical-flow', 'stereo', 'transformer', 'unified-model']",Python,2022-11-04T04:47:31Z,2025-12-05T07:03:35Z,True,"['dataloader/depth/download_demon_train.sh', 'dataloader/depth/prepare_demon_train.py', 'dataloader/depth/prepare_demon_train.py', 'dataloader/depth/scannet_banet_train_pairs.txt', 'dataloader/depth/scannet_banet_train_pairs.txt']",True,"['dataloader/depth/download_demon_test.sh', 'dataloader/depth/prepare_demon_test.py', 'dataloader/depth/scannet_banet_test_pairs.txt', 'evaluate_depth.py', 'evaluate_flow.py']",12,MIT License
PaddleViT,BR-IDL,https://github.com/BR-IDL/PaddleViT,1235,327,:robot: PaddleViT: State-of-the-art Visual Transformer and MLP Models for PaddlePaddle 2.0+,"['classification', 'computer-vision', 'cv', 'deep-learning', 'detection', 'encoder-decoder', 'gan', 'mlp', 'object-detection', 'paddlepaddle', 'segmentation', 'semantic-segmentation', 'transformer', 'vit']",Python,2021-08-30T06:47:47Z,2025-11-07T02:14:01Z,True,"['gan/styleformer/run_train.sh', 'gan/styleformer/run_train_multi.sh', 'gan/styleformer/run_train_multi.sh', 'gan/transgan/run_train.sh', 'image_classification/botnet/run_train.sh']",True,"['image_classification/cait/tests/__init__.py', 'image_classification/cait/tests/test_cait.py', 'image_classification/convmixer/tests/__init__.py', 'image_classification/convmixer/tests/test_onecyclelr.py', 'image_classification/crossvit/port_weights/load_pytorch_weights_multi_test.py']",39,Apache License 2.0
Neighborhood-Attention-Transformer,SHI-Labs,https://github.com/SHI-Labs/Neighborhood-Attention-Transformer,1163,88,"Neighborhood Attention Transformer, arxiv 2022 / CVPR 2023. Dilated Neighborhood Attention Transformer, arxiv 2022","['neighborhood-attention', 'pytorch']",Python,2022-04-14T06:40:50Z,2025-12-05T05:26:46Z,True,"['classification/dist_train.sh', 'classification/train.py', 'classification/train.py', 'detection/dist_train.sh', 'detection/train.py']",True,"['detection/dist_test.sh', 'detection/test.py', 'segmentation/dist_test.sh', 'segmentation/test.py']",5,MIT License
detoxify,unitaryai,https://github.com/unitaryai/detoxify,1151,135,"Trained models & code to predict toxic comments on all 3 Jigsaw Toxic Comment Challenges. Built using ⚡ Pytorch Lightning and 🤗 Transformers. For access to our API, please email us at contact@unitary.ai.","['bert', 'bert-model', 'hate-speech', 'hate-speech-detection', 'hatespeech', 'huggingface', 'huggingface-transformers', 'kaggle-competition', 'nlp', 'pytorch-lightning', 'sentence-classification', 'toxic-comment-classification', 'toxic-comments', 'toxicity', 'toxicity-classification']",Python,2020-09-23T15:24:21Z,2025-12-09T12:10:22Z,True,"['tests/dummy_data/jigsaw-toxic-comment-classification-challenge/train.csv', 'tests/test_trainer.py', 'train.py', 'train.py']",True,"['.github/workflows/ci-testing.yml', 'tests/__init__.py', 'tests/dummy_data/jigsaw-toxic-comment-classification-challenge/test.csv', 'tests/dummy_data/jigsaw-toxic-comment-classification-challenge/train.csv', 'tests/requirements.txt']",38,Apache License 2.0
SETR,fudan-zvg,https://github.com/fudan-zvg/SETR,1103,148,[CVPR 2021 & IJCV 2024] Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,[],Python,2020-12-30T10:18:45Z,2025-12-05T13:26:19Z,True,"['docs/tutorials/training_tricks.md', 'docs/tutorials/training_tricks.md', 'hlg-detection/configs/cascade_rcnn/cascade_mask_rcnn_r101_caffe_fpn_mstrain_3x_coco.py', 'hlg-detection/configs/cascade_rcnn/cascade_mask_rcnn_r101_caffe_fpn_mstrain_3x_coco.py', 'hlg-detection/configs/cascade_rcnn/cascade_mask_rcnn_r101_fpn_mstrain_3x_coco.py']",True,"['hlg-detection/configs/centripetalnet/centripetalnet_hourglass104_mstest_16x6_210e_coco.py', 'hlg-detection/configs/cornernet/cornernet_hourglass104_mstest_10x5_210e_coco.py', 'hlg-detection/configs/cornernet/cornernet_hourglass104_mstest_32x3_210e_coco.py', 'hlg-detection/configs/cornernet/cornernet_hourglass104_mstest_8x6_210e_coco.py', 'hlg-detection/mmdet/apis/test.py']",16,MIT License
